Loading nx graphs
Converting graphs
Data loaded
Epoch: 196, loss: 0.9538, AUC: 0.8528, AP: 0.8430
Epoch: 197, loss: 0.9536, AUC: 0.8527, AP: 0.8419
Epoch: 198, loss: 0.9546, AUC: 0.8517, AP: 0.8401
Epoch: 199, loss: 0.9547, AUC: 0.8468, AP: 0.8350
Epoch: 200, loss: 0.9542, AUC: 0.8550, AP: 0.8449
Epoch: 201, loss: 0.9543, AUC: 0.8515, AP: 0.8423
Epoch: 202, loss: 0.9545, AUC: 0.8524, AP: 0.8401
Epoch: 203, loss: 0.9547, AUC: 0.8547, AP: 0.8451
Epoch: 204, loss: 0.9551, AUC: 0.8559, AP: 0.8455
Epoch: 205, loss: 0.9542, AUC: 0.8498, AP: 0.8394
Epoch: 206, loss: 0.9548, AUC: 0.8577, AP: 0.8484
Epoch: 207, loss: 0.9539, AUC: 0.8566, AP: 0.8467
Epoch: 208, loss: 0.9540, AUC: 0.8537, AP: 0.8441
Epoch: 209, loss: 0.9543, AUC: 0.8557, AP: 0.8464
Epoch: 210, loss: 0.9548, AUC: 0.8558, AP: 0.8439
Epoch: 211, loss: 0.9548, AUC: 0.8506, AP: 0.8382
Epoch: 212, loss: 0.9541, AUC: 0.8571, AP: 0.8459
Epoch: 213, loss: 0.9545, AUC: 0.8545, AP: 0.8442
Epoch: 214, loss: 0.9543, AUC: 0.8605, AP: 0.8507
Epoch: 215, loss: 0.9543, AUC: 0.8574, AP: 0.8463
Epoch: 216, loss: 0.9543, AUC: 0.8491, AP: 0.8389
Epoch: 217, loss: 0.9540, AUC: 0.8558, AP: 0.8449
Epoch: 218, loss: 0.9538, AUC: 0.8509, AP: 0.8408
Epoch: 219, loss: 0.9544, AUC: 0.8517, AP: 0.8407
Epoch: 220, loss: 0.9542, AUC: 0.8536, AP: 0.8459
Epoch: 221, loss: 0.9542, AUC: 0.8541, AP: 0.8447
Epoch: 222, loss: 0.9544, AUC: 0.8523, AP: 0.8420
Epoch: 223, loss: 0.9543, AUC: 0.8530, AP: 0.8416
Epoch: 224, loss: 0.9539, AUC: 0.8535, AP: 0.8457
Epoch: 225, loss: 0.9547, AUC: 0.8523, AP: 0.8428
Epoch: 226, loss: 0.9538, AUC: 0.8551, AP: 0.8431
Epoch: 227, loss: 0.9534, AUC: 0.8570, AP: 0.8495
Epoch: 228, loss: 0.9541, AUC: 0.8551, AP: 0.8446
Epoch: 229, loss: 0.9538, AUC: 0.8499, AP: 0.8404
Epoch: 230, loss: 0.9541, AUC: 0.8523, AP: 0.8428
Epoch: 231, loss: 0.9539, AUC: 0.8534, AP: 0.8430
Epoch: 232, loss: 0.9538, AUC: 0.8604, AP: 0.8517
Epoch: 233, loss: 0.9547, AUC: 0.8528, AP: 0.8429
Epoch: 234, loss: 0.9540, AUC: 0.8520, AP: 0.8413
Epoch: 235, loss: 0.9543, AUC: 0.8539, AP: 0.8437
Epoch: 236, loss: 0.9548, AUC: 0.8529, AP: 0.8424
Epoch: 237, loss: 0.9549, AUC: 0.8483, AP: 0.8386
Epoch: 238, loss: 0.9541, AUC: 0.8540, AP: 0.8442
Epoch: 239, loss: 0.9536, AUC: 0.8539, AP: 0.8444
Epoch: 240, loss: 0.9541, AUC: 0.8513, AP: 0.8407
Epoch: 241, loss: 0.9543, AUC: 0.8521, AP: 0.8418
Epoch: 242, loss: 0.9540, AUC: 0.8543, AP: 0.8428
Epoch: 243, loss: 0.9539, AUC: 0.8517, AP: 0.8407
Epoch: 244, loss: 0.9537, AUC: 0.8514, AP: 0.8399
Epoch: 245, loss: 0.9552, AUC: 0.8546, AP: 0.8459
Epoch: 246, loss: 0.9538, AUC: 0.8515, AP: 0.8419
Epoch: 247, loss: 0.9543, AUC: 0.8505, AP: 0.8398
Epoch: 248, loss: 0.9547, AUC: 0.8556, AP: 0.8466
Epoch: 249, loss: 0.9536, AUC: 0.8575, AP: 0.8467
Epoch: 250, loss: 0.9545, AUC: 0.8516, AP: 0.8408
Epoch: 251, loss: 0.9545, AUC: 0.8515, AP: 0.8419
Epoch: 252, loss: 0.9539, AUC: 0.8556, AP: 0.8456
Epoch: 253, loss: 0.9537, AUC: 0.8538, AP: 0.8434
Epoch: 254, loss: 0.9541, AUC: 0.8514, AP: 0.8408
Epoch: 255, loss: 0.9537, AUC: 0.8546, AP: 0.8448
Epoch: 256, loss: 0.9538, AUC: 0.8519, AP: 0.8408
Epoch: 257, loss: 0.9545, AUC: 0.8509, AP: 0.8409
Epoch: 258, loss: 0.9539, AUC: 0.8502, AP: 0.8399
Epoch: 259, loss: 0.9542, AUC: 0.8465, AP: 0.8344
Epoch: 260, loss: 0.9535, AUC: 0.8525, AP: 0.8401
Epoch: 261, loss: 0.9537, AUC: 0.8560, AP: 0.8445
Epoch: 262, loss: 0.9544, AUC: 0.8547, AP: 0.8437
Epoch: 263, loss: 0.9541, AUC: 0.8544, AP: 0.8434
Epoch: 264, loss: 0.9540, AUC: 0.8529, AP: 0.8436
Epoch: 265, loss: 0.9542, AUC: 0.8514, AP: 0.8401
Epoch: 266, loss: 0.9541, AUC: 0.8509, AP: 0.8434
Epoch: 267, loss: 0.9542, AUC: 0.8468, AP: 0.8335
Epoch: 268, loss: 0.9534, AUC: 0.8518, AP: 0.8416
Epoch: 269, loss: 0.9540, AUC: 0.8554, AP: 0.8464
Epoch: 270, loss: 0.9543, AUC: 0.8597, AP: 0.8500
Epoch: 271, loss: 0.9540, AUC: 0.8542, AP: 0.8460
Epoch: 272, loss: 0.9537, AUC: 0.8547, AP: 0.8440
Epoch: 273, loss: 0.9546, AUC: 0.8525, AP: 0.8422
Epoch: 274, loss: 0.9540, AUC: 0.8538, AP: 0.8438
Epoch: 275, loss: 0.9546, AUC: 0.8529, AP: 0.8415
Epoch: 276, loss: 0.9541, AUC: 0.8564, AP: 0.8463
Epoch: 277, loss: 0.9544, AUC: 0.8519, AP: 0.8421
Epoch: 278, loss: 0.9544, AUC: 0.8499, AP: 0.8387
Epoch: 279, loss: 0.9542, AUC: 0.8528, AP: 0.8419
Epoch: 280, loss: 0.9543, AUC: 0.8547, AP: 0.8429
Epoch: 281, loss: 0.9542, AUC: 0.8533, AP: 0.8422
Epoch: 282, loss: 0.9549, AUC: 0.8534, AP: 0.8429
Epoch: 283, loss: 0.9541, AUC: 0.8535, AP: 0.8410
Epoch: 284, loss: 0.9542, AUC: 0.8546, AP: 0.8451
Epoch: 285, loss: 0.9539, AUC: 0.8542, AP: 0.8438
Epoch: 286, loss: 0.9538, AUC: 0.8481, AP: 0.8360
Epoch: 287, loss: 0.9541, AUC: 0.8523, AP: 0.8426
Epoch: 288, loss: 0.9536, AUC: 0.8475, AP: 0.8366
Epoch: 289, loss: 0.9545, AUC: 0.8571, AP: 0.8468
Epoch: 290, loss: 0.9538, AUC: 0.8562, AP: 0.8456
Epoch: 291, loss: 0.9540, AUC: 0.8536, AP: 0.8420
Epoch: 292, loss: 0.9537, AUC: 0.8487, AP: 0.8353
Epoch: 293, loss: 0.9539, AUC: 0.8562, AP: 0.8461
Epoch: 294, loss: 0.9533, AUC: 0.8534, AP: 0.8422
Epoch: 295, loss: 0.9545, AUC: 0.8537, AP: 0.8446
Epoch: 296, loss: 0.9541, AUC: 0.8508, AP: 0.8395
Epoch: 297, loss: 0.9538, AUC: 0.8513, AP: 0.8414
Epoch: 298, loss: 0.9544, AUC: 0.8529, AP: 0.8414
Epoch: 299, loss: 0.9541, AUC: 0.8555, AP: 0.8464
Epoch: 300, loss: 0.9539, AUC: 0.8568, AP: 0.8485
Epoch: 301, loss: 0.9541, AUC: 0.8548, AP: 0.8452
Epoch: 302, loss: 0.9540, AUC: 0.8544, AP: 0.8446
Epoch: 303, loss: 0.9542, AUC: 0.8538, AP: 0.8427
